3D holography,"Realität: Das Hologramm der Träume.","Karl Heinz Karius"
Soldier,"Wenn Unfried ist in aller Welt, gilt der Soldat das meiste Geld.","Deutsches Sprichwort"
Soldier,"Wer auf den Krieg vorbereitet ist kann den Frieden am besten wahren.",""
Space station,"Obi-Wan Kenobi: ""Das ist kein Mond, das ist eine Raumstation.""","Star Wars"
Spark,"Eine mächtige Flamme entsteht\naus einem winzigen Funken.","Dante Alighieri"
Spear,"Mehr als ein Speer verursacht die Lüge Schmerzen.","Nigerianisches Sprichwort"
Spell,"Arznei, Zuckerei und Zauberei tödten die Leute ohne Scheu.","Sprichwort"
Spell,"Auch Zauberkünstler müssen hart arbeiten, bevor das Publikum klatscht.","Dragoslav Stepanovic"
Spell,"Beim Namen rufen ist ein Zaubermittel, den Entfernten zur Erinnerung aufzuregen.","Bettina von Arnim"
Spell,"Oh welcher Zauber liegt in diesem Wort: Daheim!","Emanuel Geibel"
Spellbook,"Hüte sich vor dem, der nur ein Buch besitzt.","Thomas von Aquin"
Spirit,"Der Geist ist willig, aber das Fleisch ist schwach.","Matth. 26,41"
Spirit,"Ein geduldiger Geist ist besser denn ein hoher.","Sprichwort"
Spirit,"Reisen veredelt den Geist und räumt mit unseren Vorurteilen auf.","Oscar Wilde"
Spyglass,"Ein Teleskop kann einen Stern um das Tausendfache vergrößern, aber ein guter Pressesprecher ist noch viel besser.","Fred Allen"
Stainless steel,"Ein Hoch der Gentechnologie: Die stählerne Brust des Athleten nun auch in Edelstahl!","Lothar Peppel"
Statue,"Das letzte Mal, das ich in einer Frau gewesen bin, war, als ich zur Freiheitsstatue ging.","Woody Allen"
Statue,"Künstler, nie mit Worten, mit Taten begegne dem Feinde! Schleudert er Steine nach dir, mache du Statuen draus!","Christian Friedrich Hebbel"
Steak,"Braten und Wein, juchhe! Rechnung und Bezahlung, o weh!","Sprichwort"
Steak,"Der den Braten dreht, bekommt ihn nicht.","Sprichwort"
Steak,"Der Kluge isst den Braten sofort und das Brot später.","aus Korsika"
Steak,"Ich hasse die Wirklichkeit, aber es ist der einzige Ort, an dem man ein gutes Steak bekommt.","Fred Allen"
Steam,"Die Kunst der Lebensführung besteht darin, mit gerade soviel Dampf zu fahren, wie gerade da ist.","Theodor Fontane"
Steam,"Rauch ist alles ird'sche Wesen. Wie des Dampfes Säule weht, schwinden alle Erdengrößen, nur die Gotter bleiben stet.","Friedrich von Schiller"
Steam,"Squash: eine Sauna, in der man viel rennen muß.","Henry Kissinger"
Steam-engine,"Es hängt von dir selbst ab, ob du das neue Jahr als Bremse oder als Motor benutzen willst.","Henry Ford"
Steamship,"Gespräche sind wie Reisen zu Schiff.","Nicolas Chamfort"
Stereo,"Böse Menschen haben keine Lieder, aber häufig eine Stereoanlage.","Robert Lembke"
Stick,"Es saust der Stock, es schwirrt die Rute.\nDu darfst nicht zeigen, was du bist.\nWie schad, o Mensch, dass dir das Gute\nIm Grunde so zuwider ist.","Wilhelm Busch"
Stone,"Auch aus Steinen, die Dir in den Weg gelegt werden, kannst Du etwa Schönes bauen.","Johann Wolfgang von Goethe"
Stone,"Die kleinste Bewegung ist für die ganze Natur von Bedeutung; das ganze Meer verändert sich, wenn ein Stein hineingeworfen wird.","Blaise Pascal"
Stone,"Die stärksten Brücken werden aus Steinen gefallener Mauern gebaut.","Andreas Tenzer"
Stone,"Ein Gesetz auf Stein ist Stein, ein Gesetz in der Brust ist Lust.","Sprichwort"
Stone,"Einen Stein kann man zertrümmern,\naber man kann ihm nicht seine Härte nehmen.","Lü Buwei"
Stone,"Mit Geduld wälzt man den schwersten Stein fort.","Sprichwort"
Stone,"Stein: ein häufig für Herzen verwendetes Material.","Ambrose Bierce"
Storm,"Eine Eiche wächst langsam, hält aber manchen Sturm aus.","Sprichwort"
Storm,"Gebet ist eine Wand im Sturm.","Deutsches Sprichwort"
Storm,"Wer den Wind sät, wird den Sturm ernten,","Bibelspruch"
Storm_lost,"Eine nur schwache Flamme verlöscht der Sturm,\nhat sie schon um sich gegriffen,\nfacht er sie nur stärker an.","Sophie Mereau"
Sublimation,"Geld und Waffen sind kein Ersatz für Gehirn und Willensstärke.","Dwight D. Eisenhower"
Sugar,"Ein falscher Freund hat im Mund Zucker und m Herzen Galle.","Sprichwort"
Sugar,"Übermäßiges Lob ist wie 10 Stück Zucker im Kaffe.","Abraham Lincoln"
Sulfur,"Über des Gottlosen Haus Streut Gott Schwefel aus",""
Sulfur,"Über des Gottlosen Haus streut Gott Schwefel aus.","Deutsches Sprichwort"
Sun,"Auch festes Eis macht die Sonne zu Wasser.","Sprichwort"
Sun,"Ein Adler, der zur Sonne will, muß nicht die Flügel hängen.","Sprichwort"
Sun,"Zum Dank dafür, daß die Sonne sie bescheint, werfen die Dinge Schatten.","Bertolt Brecht"
Sunflower,"Ein Kind ohne Mutter ist eine Blume ohne Regen.","aus Indien"
Sunglasses,"Das Leben ist bezaubernd, man muß es nur durch die richtige Brille ansehen.","Alexandre Dumas"
Sunglasses,"Durch eine eigene Brille sieht man mehr als durch fremde Augen.","Sprichwort"
Sunglasses,"Je dicker die Brille, je dünner die Wahrheit.","Sprichwort"
Sunglasses present,"Das Leben ist bezaubernd, man muß es nur durch die richtige Brille ansehen.","Alexandre Dumas"
Sunglasses present,"Durch eine eigene Brille sieht man mehr als durch fremde Augen.","Sprichwort"
Sunglasses present,"Je dicker die Brille, je dünner die Wahrheit.","Sprichwort"
Super glue,"Charlie: ""Ich hab zwar den Tacker versteckt, aber er hat den Sekundenkleber gefunden.""","Two and a Half Men"
Swamp,"Wenn man einen Sumpf trocken legen will, darf man damit nicht die Fröschen beauftragen.","Mark Twain"
Swamp,"Wer seine Braut durch den Sumpf trägt, dem ist sie leicht wie eine Birkenpalme.","Sprichwort"
Sword,"Drei Dinge bewahre für den eigenen Leib: dein Pferd, dein Schwert, dein Weib.","Sprichwort"
Sword,"In Kriegszeiten verborgt man kein Schwert.","unbekannt"
Sword,"Wer fechten will um alle Schnecken, der darf nimmer das Schwert enstecken.","Sprichwort"
Tank,"Der Panzerwagen ist eine Karosse für touristische Ausflüge in freundlich gesinnte Länder. Er kann auch Salut schießen",""
Tank,"Fahren Sie defensiv - kaufen Sie sich einen Panzer!",""
Tank,"Wie der Captain gesagt hat. Wenn die mit Panzern kommen, schießen wir mit Papierkügelchen.","Der Soldat James Ryan"
Tavern,"Die dunkelste Kneipe ist besser als der hellste Arbeitsplatz.","unbekannt"
Tavern,"Wer seine Frau von draussen gebracht, hat sein Haus zur Schenke gemacht.","Sprichwort"
Tea,"Sollte dies Kaffee sein, bringen Sie mir bitte Tee; sollte dies Tee sein, bringen Sie mir bitte Kaffee.","Abraham Lincoln"
Teabag,"Frauen sind wie Teebeutel. Sie wissen nicht, wie stark sie sind, bis sie in heißes Wasser kommen.","Anna Eleanor Roosevelt"
Team,"Wenn das Reich dem Weg folgt, ziehen die Pferde Wagen mit Dünger über die Felder. Wenn das Reich den Weg verliert, ziehen die Pferde Streitwagen in die Städte.","Laotse"
Teleport,"Wer weiter will als sein Pferd, der sitze ab und gehe zu Fuß.","Sprichwort"
Temple,"Wo Religion ist, werden Menschen geliebt und Tiere und das All. Jedes Leben ist ja ein beweglicher Tempel des Unendlichen.","Jean Paul"
Tequila,"Mit den Lahmen lernt man hinken, mit den Säufern trinken.","Sprichwort"
Tequila present,"Mit den Lahmen lernt man hinken, mit den Säufern trinken.","Sprichwort"
Theft,"Argwöhnisch wacht der Mensch über alles, was ihm gehört. Nur die Zeit lässt er sich stehlen, am meisten vom Fernsehen.","Linus Pauling"
Theft,"Bankraub ist eine Initiative von Dilettanten. Wahre Profis gründen eine Bank.","Bertolt Brecht"
Theft,"Besser mit den Frommen stehlen, als mit den Gottlosen beten.","Sprichwort"
Theft,"Ehrlich Betteln ist besser als unehrlich Stehlen.","Sprichwort"
Theft,"Eigentum ist Diebstahl.","Pierre Joseph Proudhon"
Theft,"Ließe der Dieb das Stehlen, der Hund ließe sein bellen.","Deutsches Sprichwort"
Theory of relativity,"Seit die Mathematiker über die Relativitätstheorie hergefallen sind, verstehe ich sie selbst nicht mehr.","Albert Einstein"
Thunderbird,"An den Federn erkennt man den Vogel.","Sprichwort"
Time,"Wenn die Zeit kommt, in der man könnte, ist die vorüber, in der man kann.","Marie von Ebner-Eschenbach"
Toaster,"Die Zeit ist nicht mehr fern, wo ein Toaster intelligenter sein wird als manches Familienmitglied.","Willi Walgenbach"
Tobacco,"Eine Zigarette besteht aus Papier, ein Gramm Tabak und viele Werbemillionen.","Philipp Fürchtegott Reemstma"
Tobacco,"Mit dem Rauchen aufzuhören ist kinderleicht. Ich habe es schon hundertmal geschafft.","Mark Twain"
Tobacco,"Tabak verwandelt Gedanken in Träumen.","Victor Hugo"
Tobacco,"Zuerst schuf der liebe Gott den Mann, dann schuf er die Frau. Danach tat ihm der Mann Leid, und er gab ihm den Tabak.","Mark Twain"
Tolerance,"Bloßes Ignorieren ist noch keine Toleranz.","Theodor Fontane"
Tools,"Die Menschheit ist zum Werkzeug ihrer Werkzeuge geworden.","Henry David Thoreau"
Tools,"Ein schlechter Arbeiter kann kein gutes Werkzeug finden.","Sprichwort"
Torture,"Auch die Unschuld bekennt sich auf der Folterbank zu Freveln, die sie nie beging.","Friedrich Schiller"
Torture,"Geliebt zu werden kann eine Strafe sein. Nicht wissen, ob man geliebt wird, ist Folter.","Robert Lembke"
Torture,"In früheren Zeiten bediente man sich der Folter. Heutzutage bedient man sich der Presse. Das ist gewiß ein Fortschritt.","Oscar Wilde"
Torture,"Neid ist eigner Folterknecht.",""
Torture,"Unentschlossenheit ist für die Seele, was die Folter für den Körper ist.","Chamfort"
Tower,"Auch ein hunderttausend Fuß hoher Turm ruht auf der Erde,","Chinesisches Sprichwort"
Tower,"Auch ein hunderttausend Fuß hoher Turm ruht auf der Erde.",""
Tower,"Ein Blitzableiter auf einem Kirchturm ist wohl das denkbar stärkste Misstrauensvotum gegen den lieben Gott","iBash"
Tower,"Wer hohe Türme bauen will, muss lange beim Fundament verweilen.","Anton Bruckner"
Traffic lights,"Verkehrsampeln sind grüne Laternen, die bei Annäherung eines Wagens unverzüglich rot werden.","Max Böhm"
Transistor,"Mich wird mal ein Computer ersetzen. Bei manch anderen reicht schon ein Transistor.","unbekannt"
Trap,"Nur einmal geht der Fuchs in die Falle.","Bulgarien"
Trap,"Wer die Frau nimmt beim Feste und den Mann beim Balle, der geht in eine Falle.","Sprichwort"
Treant,"Wer alte Bäume fürchtet, kommt durch keinen Wald.","alte Bauernweisheit"
Tree,"Am Baum des Schweigens hängt der Friede.",""
Tree,"Auf einen Hieb fällt kein Baum.","Sprichwort"
Tree,"Du lernst den Baum kennen, wenn du dich an ihn lehnen willst.",""
Tree,"Je größer der Baum, je schwerer der Fall.","Sprichwort"
Tree,"Man kann einen Baum nicht nach der Güte seiner Blätter einschätzen, sondern nur nach der Güte seiner Früchte.","Giordano Bruno"
Tree,"Man muß den Baum biegen, weil er noch jung ist.","Sprichwort"
Turtle,"Eine Fliege , welche die Schildkröte sticht, verliert den Stachel.","Sprichwort"
Turtle,"Müssen wir, weil die Schildkröte einen sicheren Gang hat, die Flügel der Adler beschneiden?","Edgar Allan Poe"
TV,"Das Fernsehen hat bewirkt, dass jeden Tag Millionen Menschen aufwachen, um schlafen zu gehen.","Robert Lembke"
TV,"Das Fernsehen hat feste Regeln. Bei den Western gewinnen immer die Guten, bei den Nachrichten immer die Bösen.","Robert Lembke"
TV,"Das Fernsehen unterhält die Leute, indem es verhindert, dass sie sich miteinander unterhalten.","Sigmund Graff"
TV,"Die Leute sind gar nicht so dumm, wie wir sie durchs Fernsehen noch machen werden.","Hans-Joachim Kulenkampff"
TV,"Millionen Fliegen können sich nicht irren.","Sprichwort"
Typewriter,"Schreiben ist die einzige Möglichkeit, ein paar angenehme Leben zur gleichen Zeit zu führen.","Laurence Sterne"
UFO,"Die Fehler erkennt ein Fremder sofort, die Vorzüge erst sehr viel später.","Marie Luise Kaschnitz"
UFO,"Manchmal überkommt einen das Gefühl, die Menschheit wäre nur dazu da, um späteren außerirdischen Besuchern als warnendes Beispiel zu dienen.",""
Underground,"Das Ziel muß man früher kennen als die Bahn.","Jean Paul"
Unicorn,"Dass dich der Einhorn in diesem Jahr nicht stoße und in vielen Jahren nicht.","Sprichwort"
Unicorn,"Ein Kamel ist ein Pferd, das von einem Ausschuß entworfen wurde.",""
Unicorn,"Es hat nie eine Zeit ohne Einhörner gegeben.","""Das letzte Einhorn"""
Unicorn,"Unsichtbare, rosafarbene Einhörner sind Wesen mit großer spiritueller Macht.",""
USB,"Das Leben ist zu kurz, um USB-Sticks sicher zu entfernen.","unbekannt"
Vacuum cleaner,"Mum hat auch gesagt, du sollst aufhören deine Nudeln in den Staubsauger zu stecken.","Scarie Movie"
Vacuum tube,"Ich würde gerne ein Vakuumröhren-Soundsystem in mein Auto einbauen. Der Sound ist um Welten besser als der Transistorkram.","unbekannt"
Vampire,"""Sind sie auch ein Vampir?""\n""Nein- Anwalt- das ist was ähnliches""",""
Vampire,"Blut ist dicker als Wasser.","Sprichwort"
Vampire,"Nicht alle Menschen, aber alle Vampire fallen dir gern um den Hals.","Martin Gerhard Reisenberg"
Vampire,"Wer sich Akzisoren setzen läßt, braucht keine Blutegel",""
Vegetarianism,"Weder Fisch noch Fleisch.","Sprichwort"
Video game,"""Bist du nicht 'n bisschen jung für Vollkontakt?""\n""Bist du nicht 'n bisschen zu alt für Videospiele?""","Bloodsport"
Virtual reality,"Virtuelle Realität ist die Zukunft","John Carmack"
Virtue,"Auch die Tugenden müssen ihre Grenzen haben.","Immanuel Kant"
Virtue,"Ehre ist der Tugend Lieblingstochter.","Sprichwort"
Virtue,"Man kauft für Gold nicht Tugend und Verstand.","Sprichwort"
Virus,"Der stärkere überlebt (Darwin) Selbst der mächtigste Löwe, kann dem kleinsten Virus erliegen.","Ernst Ferstl"
Virus,"Hartnackige Viren erfordern hartnackige Virologen.",""
Virus,"Nichts ist ungesunder, als krank sein.","Deutsches Sprichwort"
Vitamin,"Lieber Gott, mach doch, dass die Vitamine nicht mehr im Spinat sind, sondern im Pudding.","unbekannt"
Vodka,"Alkohol macht die Leute toll.","Sprichwort"
Vodka,"Alkohol tötet langsam — aber wir haben Zeit!","unbekannt"
Vodka present,"Alkohol macht die Leute toll.","Sprichwort"
Vodka present,"Alkohol tötet langsam — aber wir haben Zeit!","unbekannt"
Void,"Die leere Form ist nicht Schönheit, sie ist das Gewand der Schönheit.","Romain Rolland"
Void,"Die Lehre der Weisheit ist die Weisheit der Leere.","Andreas Tenzer"
Void,"In Wirklichkeit gibt es nur die Atome und das Leere.","Demokrit"
Void,"Leere Worte nehmen gern einige zusätzliche Buchstaben mit an Bord.","Martin Gerhard Reisenberg"
Void,"Zwischen Leere und Lehre liegt Erkenntnis.","Claudia Horn"
Walls,"Räume deinen Kindern nicht alle Steine aus dem Weg,\nsonst rennen sie einmal mit dem Kopf gegen eine Mauer.","Robert Kennedy"
Wand,"Das Leben ist ein strenger Lehrer mit einem großen Stock.","aus der Ukraine"
Wand,"Der Arme bedarf wenig zum Leben im Land: den Weg vor sich und den Stock in der Hand.","Sprichwort"
Wand,"Der Zauberstab ist mir gegeben. Ich muss ihn nur zu gebrauchen wissen.","Leo Tolstoi"
Wand,"Man muß bezaubern, wenn man etwas Wesentliches bekommen will.","Franz Kafka"
Wand,"Sozialistische Märchen begannen stets mit der uneinlösbaren Zauberformel: ""es wird einmal sein...""!",""
Warrior,"Dem Frommen fehlt es nicht an Kampf.","Sprichwort"
Warrior,"Die zwei mächtigsten Krieger sind Geduld und Zeit.","Leo Tolstoi"
Warrior,"Sich selbst besiegen ist der schönste Sieg.",""
Warrior,"Solange wir leben, kämpfen wir.","Augustinus"
Warrior,"Weder Krieger noch Mönche nähren ein Land.","Johann Gottfried von Herder"
Washing machine,"Mann, der Trockner ist doch keine Waschmaschine!","Der Kindergarten-Daddy"
Water,"Alles fließt - nur der Wasserhahn tropft.","Klaus Klages"
Water,"Brunnen, die immer Wasser geben, schätzt man nicht.","Sprichwort"
Water,"Man kann die Erkenntnisse der Medizin auf eine knappe Formel bringen: Wasser, mäßig genossen, ist unschädlich.","Mark Twain"
Water,"Stille Wasser gründen tief.","Sprichwort"
Water,"Stumme Hunde und stille Wasser sind gefährlich.",""
Water,"Wer dürstet, trinkt Wasser für Wein.","Sprichwort"
Water_lost,"Die Erde ist ein gebildeter Stern\nmit sehr viel Wasserspülung.","Erich Kästner"
Weapon,"<Ray-Bob> sach mal: weißt du wie die dinger heissen, die die leute in texas statt krawatten tragen?\n<BlackDragonMaster> waffen?","bash.org"
Weapon,"Die Wahrheit ist mächtiger als jede Waffe.","unbekannt"
Weapon,"Es gibt keine Massenvernichtungswaffen - nur Chuck Norris.",""
Weapon,"Hast du Gold, wird dir Wehr und Waffe hold.","Sprichwort"
Weapon,"Von Sinnen ergreife ich die Waffen, doch auch in den Waffen ist nicht genügend Rat.","Vergil"
Weapon,"Waffen sind das Ticket zum Verkehrssystem Welt.",""
Webcam,"Kontaktaufnahme in Foren - Zärtlichkeit via Webcam - Liebesschwüre über Messenger-Psychotherapie im SMS-Abo - letzte Rundmail an Freunde - Endstation virtueller Friedhof.","unbekannt"
Weeds,"Geduld ist ein seltsam Kraut.","Sprichwort"
Weeds,"In einem Backofen wächst kein Kraut.","Sprichwort"
Weeds,"Unkraut ist eine Pflanze, deren Tugenden noch nicht entdeckt wurden.","R. W. Emerson"
Werewolf,"Aus Liebe frißt der Wolf das Schaf.","Sprichwort"
Werewolf,"Läßt man sie nur das richtige Blut lecken, werden auch Schoßhündchen zu Werwölfen.","Martin Gerhard Reisenberg"
Whale,"Der Fisch stinkt vom Kopf her.","Sprichwort"
Whale,"Es wird nicht aus jedem kleinen Fisch ein Wal.","Sprichwort"
Wheat,"Dankbarkeit und Weizen gedeihen nur auf gautem Boden.","Sprichwort"
Wheat,"Was nützt ein Feld von Disteln, wenn man Weizen ernten will.","Sprichwort"
Wheat,"Wer aus einem Weizen einen Kuchen haben will, muß das Mahlen abwarten.","William Shakespeare"
Wheel,"Ein Advokat und ein Wagenrad wollen geschmiert sein.","Sprichwort"
White russian,"Über verschüttete Milch lohnt sich nicht zu weinen.","Sprichwort"
White sail,"Weiße Segel fliegen auf der blauen See,\nweiße Möwen wiegen sich in blauer Höh',\nblaue Wälder krönen weißer Dünen Sand;\nPommerland, mein Sehnen ist dir zugewandt!","aus dem Pommernlied"
Windows,"Aus ungenannten Gründen verschiebt sich der Erscheinungstermin von Windows 2000 bis zum Jahr 1901.","unbekannt"
Wizard,"<Mo b> Er ist ein Zauberer....Verbrennt ihn!!!\n<Je mand> Nein! Ich bin Informatiker.\n<Mo b> Huuuuu[Ehrfurcht]! Er ist Informatiker...Formatiert ihn!!!",""
Wizard,"Es ist Zeit, etwas Neues zu beginnen und dem Zauber des Anfanges zu vertrauen.","Meister Eckhart"
Wizard,"Ganz bestimmt gibt es Zauberer, aber wir lernen leider nur die Lehrlinge kennen.","Art van Rheyn"
Wizard,"Zauberer wissen ihre Zeit.","William Shakespeare"
Woman,"Frauen sind wie Katzen: Beide kann man nur zwingen, das zu tun, was sie selber mögen.","Colette"
Woman,"Manche Männer bemühen sich lebenslang, das Wesen einer Frau zu verstehen. Andere befassen sich mit weniger schwierigen Dingen, zum Beispiel der Relativitätstheorie.","Albert Einstein"
Woman,"Solange der Nagellack nicht trocken ist, ist eine Frau praktisch wehrlos.","Burt Reynolds"
Wood,"Die Bäume hinter den Wald verstecken.","Sprichwort"
Wood,"Ein Baum macht noch keinen Wald.","Fernöstliche Weisheit"
Wood,"Wer sich vorm Busche fürchtet, kommt nie in den Wald.","Sprichwort"
Wool,"An den Dornen bleibt viel Wolle hängen.","Sprichwort"
Wool,"Vom Esel kann man nicht Wolle fordern.","Deutsches Sprichwort"
Wool,"Von einem Ei kann man keine Wolle scheren.","Sprichwort"
Work,"Arbeit erhält das Leben.","Sprichwort"
Work,"Arbeit hat bittere Wurzel, aber süße Frucht.","Sprichwort"
Work,"Arbeit ist bei Armut gut.","Deutsches Sprichwort"
Work,"Arbeit ist, was übrig bleibt, wenn alles gesagt ist.",""
Work,"Für seine Arbeit muss man Zustimmung suchen, aber niemals Beifall.","Charles-Louis de Montesquieu"
Work,"Jeder Arbeitgeber sollte sich fragen, warum Menschen sich in einem Sportverein schinden und dafür noch Beitrag bezahlen.","Peter Hohl"
Worm,"Auch in dicke Balken kommt der Wurm.","Sprichwort"
Worm,"Ich kann fliegen, sagte der Wurm, als er mit dem Apfel vom Baum fiel.","Werner Mitsch"
Worm,"Im schönsten Apfel ist der Wurm.","Sprichwort"
Worm,"Im schönsten Apfel sitzt der Wurm.",""
Worm,"Kriechen zwei Würmer an einem Teller Spaghetti vorbei! Meint der eine: ""Guck mal, Gruppensex!""",""
Worm,"Wer antwortet, ehe er hört, der hat einen Wurm im Kopf.","Sprichwort"
Worm,"Wer sich zum Wurm macht, kann nachher nicht klagen, wenn er mit Füßen getreten wird.","Immanuel Kant"
Wrath,"Bruderzorn ist Zorn von Teufeln aus der Hölle.",""
Wrath,"Den Bogen bricht Spannen und Nachlassen den Zorn.","Sprichwort"
Wrath,"Der Rausch des Zorns ist wie ein andrer Rausch: Das beste Mittel ist die frische Luft.","Franz Grillparzer"
Wrath,"Eine Antwort sanft und lind, stillet den Zorn geschwind.","Sprichwort"
Wrath,"Hüte Dich vor dem Zorn eines sanftmütigen Mannes.","John Dryden"
Wrath,"Zorn und Haß sind schlechte Ratgeber.","alte Bauernweisheit"
WWW,"Optimus Prime: ""Wir lernten die Sprachen der Erde im World Wide Web.""","Transformers"
Yo-yo,"Das Jojo war ursprünglich eine Waffe der Philippinen.","unbekannt"
Zeppelin,"König: ""Wie nennt sich so ein Ding überhaupt?""\nRichelieu: ""Ein Luftschiff, Euer Majestät.""\nKönig: ""Wieso hab ich so was nicht?""","Die 3 Musketiere"
Zipper,"Reißverschlüsse haben die Knöpfe in den Ruin getrieben.","Dr. Fritz P. Rinnhofer"
Zombie,"Lebende Legende klingt mir zu sehr nach Zombie. Wenn schon, wäre ich gerne eine lebendige Legende","KarlHeinz Karius"
Zombie,"Wäre die Welt vollkommen, wären wir vollkommen ohne Leid und vollkommene Zombies.",""
Zombie,"Zwei Tode kann niemand sterben.","Sprichwort"
Acid,"Wer nichts als die Chemie versteht, versteht auch die nicht recht.","Georg Christoph Lichtenberg"
AI,"Künstliche Intelligenz ist allemal besser als natürliche Dummheit.","Hans Matthöfer"
AI,"Wer mit künstlicher Intelligenz arbeitet, muß auch mit natürlicher Dummheit rechnen.","Klaus Kornwachs"
Armageddon,"Und wenn ich wüßte, daß morgen die Welt unterginge, so würde ich doch heute mein Apfelbäumchen pflanzen.","Martin Luther"
Army,"Banken sind gefährlicher als stehende Armeen.","Thomas Jefferson"
Army,"Lügen können Kriege in Bewegung setzten, Wahrheit hingegen können ganze Armeen aufhalten.","Otto von Bismarck"
Astaroth,"Ja, ein Teufel will ich werden,\nUnd als Kameraden grüß ich\nSatanas und Belial,\nAstaroth und Belzebub.","Heinrich Heine, Romanzero"
Atheism,"Atheismus ist der Versuch, die Erde ohne die Sonne zu erklären.","Sigismund von Radecki"
Atheism,"Atheismus ist Selbstmord der Seele.","John Petit-Senn"
Atheism,"Atheismus. Man glaubt gar nicht, was manche Menschen alles glauben, um nichts glauben zu müssen.","Werner Mitsch"
Baal,"Deutschland ist untergegangen in einem Bad von Stahl. Heraldische Drachen und Schlangen beten zum biblischen Baal.","Klabund"
Bat,"Der Argwohn ist unter den Gedanken, was die Fledermäuse unter den Vogel Vögeln sind: sie flattern stets im Dämmerlicht.","Francis Bacon"
Battle cruiser,"Du kannst so rasch sinken, dass du zu fliegen meinst.","Marie von Ebner-Eschenbach"
Battle cruiser,"Ein großes Schiff braucht großes Fahrwasser.",""
BFG 9000,"Die Atombombe ist eine Waffe, die Heldentum überflüssig macht.","Ron Kritzfeld"
Biological weapon,"Bakterie: der unsichtbare Helfer, vor allem aber Ernährer der Ärzte...","Michael Funcke"
Biological weapon,"Eine auf Waffen gegründete Herrschaft muß sich auf Waffen stützen.","Carl Friedrich Freiherr von Weizsäcker"
Biological weapon,"Ich bin nicht sicher, mit welchen Waffen der dritte Weltkrieg ausgetragen wird, aber im vierten Weltkrieg werden sie mit Stöcken und Steinen kämpfen.",""
Bomb,"Der Mensch erfand die Atombombe, doch keine Maus der Welt würde eine Mausefalle konstruieren","Albert Einstein"
Bomb,"Es ist denkbar, daß jemand auf dem Bahnhof in New York einen Koffer mit einer Atombombe aufgibt.","Carl Friedrich Freiherr von Weizsäcker"
Bomb,"Was mich erschreckt, ist nicht die Zerstörungskraft der Bombe, sondern die Explosivkraft des menschlichen Herzens zum Bösen!","Albert Einstein"
Bomber,"Bei der Marine sagt man Truppenausweis, beim Heer Materialbegleitschein und bei der Luftwaffe Clubkarte.",""
Cannon,"Es gibt nichts Stilleres als eine geladene Kanone.","Heinrich Heine"
Cellulose,"Bei der nächsten Sintflut wird Gott nicht Wasser, sondern Papier verwenden.","Romain Gary"
Cerberus,"Dem Hund im Amt gehorcht man.","William Shakespeare"
Cerberus,"Hunde haben alle guten Eigenschaften des Menschen, ohne gleichzeitig ihre Fehler zu besitzen.","Friedrich II, der Große"
Cerberus,"Weh dem Menschen, wenn nur ein einziges Tier im Weltgericht sitzt.","Christian Morgenstern"
Chemical weapon,"Bauteile. Amerikanische Bauteile, russische Bauteile, alle MADE IN TAIWAN!","Armageddon"
Chemical weapon,"Gefährlicher als eine falsche Theorie ist eine richtige in falschen Händen.","Gabriel Laub"
Chimera,"Außerhalb des Nirwana im Leben - eine seltene Leistung, ein fast unerreichbarer Extremzustand - ist die Abschaffung der Begierde eine Schimäre.",""
City,"Die Linien der Humanität und Urbanität fallen nicht zusammen.","Georg Christoph Lichtenberg"
City,"Große Stadt, große Wüstenei.",""
City,"Nicht in der Stadt, erst in der Wildnis lernt man den Mann kennen.",""
City,"Wo man den Esel krönt, Da ist Stadt und Land gehöhnt.",""
Communism,"Kommunismus - das ist Sowjetmacht plus Elektrifizierung.","Wladimir Iljitsch Lenin"
Communism,"Kommunismus. Der lange und harte Weg vom Kapitalismus zum Kapitalismus",""
Communism,"Kommunist - ein Sozialist ohne Sinn für Humor.","George Barton Cutten"
Communism,"Wir brauchen keinen Dritten Weltkrieg. Wir haben Kapitalismus, Kommunismus und Tourismus.","Oliver Hassencamp"
Corruption,"Korruption ist die Autobahn neben dem Dienstweg.","Helmar Nahr"
Corruption,"Politik: die Führung öffentlicher Angelegenheiten zu privatem Vorteil.","Ambrose Bierce"
Crow,"Der Rabe hat der Krahe nichts vorzuwerfen.",""
Crow,"Die Tugend nistet, wie der Rabe, mit Vorliebe in Ruinen.","Anatole France"
Crow,"Weiße Raben sind seltene Vogel.",""
Cthulhu,"Auch das Ungeheuer von Loch Ness steht unter Naturschutz.",""
Cthulhu,"Auch Ungeheuer haben ihre Philosophie.",""
Cyberspace,"Der beste Weg, die Zukunft vorauszusagen, ist, sie zu erfinden.","Alan Key"
Death ray gun,"Hast Du nicht gesagt, sie haben keine Kanonen?"" - ""Sie müssen ihre Weltanschauung geändert haben.","Bevery Hills Cop"
Death star,"Das ist kein Mond — das ist eien Raumstation.","Obi-Wan Kenobi"
Death star,"Es war einmal vor langer Zeit in einer weit, weit entfernten Galaxis...",""
Death star,"Lauf Luke, lauf!","Obi-Wan"
Death star,"Möge die Macht mit dir sein.","Han"
Democracy,"Demokratie heißt, die Wahl haben. Diktatur heißt, vor die Wahl gestellt sein.","Jeannine Luczak"
Democracy,"Demokratie ist eine Einrichtung, die es den Menschen gestattet, frei zu entscheiden, wer an allem schuld sein soll.",""
