3D holography,"Noi potremmo essere l'immagine olografica di una struttura a due dimensioni.","Brian Greene"
Resurrection,"È per aver frainteso la teoria della reincarnazione che i Cristiani parlano di resurrezione.","Celso"
Robot,"Il simbolo dell'uomo ""robotizzato"", che compie gesti burocratici con incoscienza quasi assoluta.","Italo Calvino"
Robot,"Un giorno le macchine riusciranno a risolvere tutti i problemi, ma mai nessuna di esse potrà porne uno.","Albert Einstein"
Robot,"Un robot non può recare danno all'umanità, né può permettere che, a causa del suo mancato intervento, l'umanità riceva danno.","Isaac Asimov"
Rocket,"I desideri ardenti che si annidano nel cuore umano, sono come semi gettati nell'invisibile grembo del cosmo.","Ka-Tzetnik 135633"
Rocket,"L'unica maniera di scoprire i limiti del possibile è di oltrepassarli e finire nell'impossibile.","Arthur C. Clarke"
Rocket,"L'uomo non ha creato il cosmo, per cui esso gli rimane impenetrabile nella sua ultima profondità.","Papa Benedetto XVI"
Rock-n-roll,"È lunga la strada per la cima, se vuoi fare del rock'n'roll.","AC/DC"
Rock-n-roll,"Il rock 'n' roll ha una sorta di aura di rivoluzione permanente, senza tempo, di sfida a tutto, inclusa la natura stessa.","John Waters"
Rock-n-roll,"Ma il rock and roll, fondamentalmente, si basa sul gospel e il rhythm and blues...","Elvis Presley"
Rogue,"La malinconia dagli oscuri occhi, triste compagna.","William Shakespeare"
Rope,"Solo perché sei arrivato sull'orlo di un precipizio non significa che sia la fine, trova una corda per scendere.","John Alexander Tristram"
Rum,"E anche un litro di tequila, un litro di rum, una cassa di birra, mezzo litro di etere puro e due dozzine di fialette di popper.","Paura e delirio a Las Vegas (film)"
Rum,"Stai parlando di rum e cola senza il rum?","Big Banf Theory"
Rum present,"E anche un litro di tequila, un litro di rum, una cassa di birra, mezzo litro di etere puro e due dozzine di fialette di popper.","Paura e delirio a Las Vegas (film)"
Rum present,"Stai parlando di rum e cola senza il rum?","Big Banf Theory"
Russian roulette,"Per la maggior parte della gente il suicidio è come la roulette russa.","Jeffrey Eugenides"
Sacrifice,"L'amore è incompatibile con la vita. Il desiderio di due cuori che si amino veramente, non è vivere insieme, ma morire insieme.","Aldos Huxley"
Sacrifice present,"Nella donna tutto è sacrificio, nell'uomo tutto è dovere.","Libero Bovio"
Sacrifice present,"Noi siamo capaci di fare molti sacrifici nelle cose grandi, ma raramente siamo capaci di sacrificare le piccole.","Goethe"
Sacrifice present,"Un sacrificio protratto nel tempo può rendere il cuore una pietra.","W.B.Yeats"
Sail,"Non sei un vero marinaio finché non hai navigato a vele spiegate","Proverbio irlandese"
Sailing raft,"Il terrificante mondo-oceano è tremendo e spaventoso; non c'è alcuna spiaggia da questa parte, né dall'altra. Non c'è nave, né zattera, né remi né barcaiolo.","Sri Guru Granth Sahib"
Sailing ship,"È necessario navigare, non è necessario vivere.","Plutarco"
Sailing ship,"In nessun'altra città come a Venezia, ho trovato una tale unità della vita odierna con la vita che ci parla dalle opere d'arte della sua età aurea e nella quale sole e mare sono più essenziali di tutta la storia.","Hermann Hesse"
Sailing ship,"Navigammo fino ad incontrare che il Polo meridionale si elevava cinquantadue gradi sopra l'orizzonte, in termini che già non potevamo vedere la Orsa maggiore né la minore.","A.Vespucci"
Salt,"Se ben da mangiar tu vuoi dare all'animale, ti raccomando di non dimenticarti il sale.","Proverbio italiano"
Salt,"Tu proverai sì come sa di sale\nlo pane altrui, e come è duro calle\nlo scendere 'l salir per l'altrui scale.","Dante"
Salt,"Voi siete il sale della terra; ma se il sale perdesse il sapore, con che cosa lo si potrà rendere salato?","Matteo, 5:13"
Saltpetre,"Brucia la terra...","Nino Rota"
Salvation,"Alla fine è sempre un plotone di soldati a salvare la civiltà.","Oswald Spengler"
Salvation,"L'uomo non è salvato, che a partire dal momento in cui egli stesso diventa salvatore.","Abbé Pierre"
Salvation,"Non posso salvare l'umanità senza mantenere intatto ciò che mi rende umano.","Star Trek: Enterprise"
Salvation_lost,"Alla fine è sempre un plotone di soldati a salvare la civiltà.","Oswald Spengler"
Salvation_lost,"L'uomo non è salvato, che a partire dal momento in cui egli stesso diventa salvatore.","Abbé Pierre"
Salvation_lost,"Non posso salvare l'umanità senza mantenere intatto ciò che mi rende umano.","Star Trek: Enterprise"
Sand,"Ho lavato la sabbia\ncon le mie lacrime salate\nCercando la spiaggia per tutti questi anni","Sinead O'Connor"
Sand,"I bambini s'incontrano con grida e danze sulla spiaggia di mondi sconfinati costruiscono castelli di sabbia...","R.Tagore"
Sand,"L'amicizia è una strada che scompare nella sabbia se non la si rifà senza posa.","Proverbio africano"
Sarcophagus,"I sarcofagi degli antichi Egizi venivano prodotti in legno, con copertura in bronzo o in foglie d’oro. Il sarcofago di Tutankhamon fu prodotto in oro puro e conteneva una mummia che indossava una maschera funeraria d’oro raffigurante il faraone.",""
Satellite,"I nostri occhi controllano gli altri; raramente penetrano in noi stessi.","Karekin I"
Satellite,"La luna è come la libertà: sta in cielo e in fondo al pozzo.","Antonio Delfini"
Satellite,"Non più la luna è cielo a noi, che noi a la luna.","Giordano Bruno"
Satellite,"Tutto mi sarei aspettato dalla vita tranne che di vedere Communardo Niccolai via satellite.","Manlio Scopigno"
Scarabeus,"Uno dei simboli più venerati dell’antico Egitto. Come il sole attraversa il cielo, infondendo calore e creando le condizioni perché la vita prosperi sulla terra, lo scarabeo fa ruotare le sue pallottole contenenti uova dall’est all’ovest, a meno che gli e",""
Scientist,"Chi accresce il sapere, aumenta il dolore.","Qoèlet"
Scientist,"Insomma, la scienza è umiliata dalla politica, che a sua volta è succube del Vaticano.","Margherita Hack"
Scientist,"La morte non vuole gli stupidi.","Anton Chechov"
Scientist,"L'unico fine della scienza è l'onore dello spirito umano.","Karl Gustav Jacob Jacobi"
Scientist,"Voi conoscerete la verità, e la verità vi renderà folli.","Aldous Leonard Huxley"
Scorpion,"Ciò che il deserto prende, il deserto restituisce.","James Rollins"
Scorpion,"Ho sempre amato il deserto...","Antoine de Saint-Exupéry"
Scroll,"Alcuni scrittori prendono gusto al bere, altri al pubblico.","Gore Vidal"
Scroll,"Come gli scrittori diventano più numerosi, è naturale per i lettori diventare più indolenti.","O.Goldsmith"
Scroll,"La letteratura non permette di camminare ma permette di respirare.","Roland Barthes"
Sea,"Anche noi, come l'acqua che scorre, siamo viandanti in cerca di un mare.","Juan Baladán Gadea"
Sea,"Degna di fiducia è la terra, infido il mare.","Pittaco"
Sea,"Dopo l'istante magico in cui i miei occhi si sono aperti nel mare, non mi è stato più possibile vedere, pensare, vivere come prima.","Jacques-Yves Cousteau"
Sea launch,"I nostri sottomarini potrebbero lanciare decine di testate atomiche.","Sconosciuto"
Sea_lost,"Solo, solo, tutto, tutto solo,\nSolo in un mare sconfinato!","Samuel Taylor Coleridge"
Sebek,"L’antico dio egizio dell’acqua e delle alluvioni del Nilo, raffigurato con la testa di coccodrillo. Si credeva che spaventasse le forze dell’oscurità e che fosse il difensore degli dei e degli uomini.",""
Secret door,"Il segreto del mio prestigio rimarrà un segreto.","Salvador Dalì"
Secret door,"In ogni caos c'è un cosmo, in ogni disordine un ordine segreto.","K.G.Jung"
Secret door,"La segretezza è il principio della tirannia.","R.A.Heinlein"
Seeds,"Caro il mio grano!","Giovanni Pascoli"
Seeds,"Che sa l'odore di pan fresco!","Giovanni Pascoli"
Seeds,"Il sangue dei martiri è il seme della Chiesa.","Tertulliano"
Seeds,"L'odio senza desiderio di vendetta è un seme caduto sul granito.","Honoré de Balzac"
Semiconductor,"Fino a poco tempo fa la gente pensava che i semiconduttori fossero dei direttori d'orchestra part-time, e che i microchip fossero piccole, piccole patatine.","Geraldine Ferraro"
Sex,"Ci sono cose migliori e cose peggiori del sesso, ma niente altro è veramente la stessa cosa.","W. C. Fields"
Sex,"Facendone un peccato il Cristianesimo ha fatto molto per il sesso.","Anatole France"
Sex,"L'amore del potere esclude tutti gli altri.","Indro Montanelli"
Sex,"Sway: Secondo te è meglio fare sesso o guidare una Ferrari?\nMemphis: Fare sesso mentre guido una Ferrari!","Fuori in 60 Secondi (film)"
Sex,"Un desiderio di desideri: la malinconia.","L.Tolstoj"
Shadow,"Il falso amico è come l'ombra che ci segue finché dura il sole.","Carlo Dossi"
Shadow,"Niente è infatti contrario all'ombra, e precisamente né la tenebra, né la luce.","G.Bruno"
Shadow,"Quando si adora il sole, è duro andare dove il sole non brilla mai.","John Galsworthy"
Shells,"Il Giappone esce dal mare. Il mare l'ha respinto come una conchiglia di madreperla.","J.Cocteau"
Shells,"L'essere umano è rinchiuso in una conchiglia di assurdità.","Frederic Prokosch"
Shelter,"La gente ha continuato a dire riparo, riparo, riparo, ma a che serve avere una tenda se poi anche lì dentro sei affamato e al freddo?","David Orr"
Ship,"Chi vuol navigare finché non sia passato ogni pericolo non deve mai prendere il mare.","Thomas Fuller"
Ship,"Di fronte al mare la felicità è un'idea semplice.","Jean-Claude Izzo"
Shopping,"Consigli per gli acquisti: potete trovare scarpe a 85 centesimi alla sala da bowling.","Sconosciuto"
Shopping cart,"Perché mai qualcuno dovrebbe rubare un carrello della spesa? Sarebbe come rubare un bambino di due anni.","Erma Bombeck"
Silver,"È molto meglio possedere la sapienza che l'oro, il possesso dell'intelligenza è preferibile all'argento.","Re Salomone"
Sin,"Chi di noi ha meno bisogni è più simile a un dio.","Apuleio"
Sin,"Ci sono molti capri espiatori per i nostri peccati, ma il più popolare è la Provvidenza.","Mark Twain"
Sin,"Ero un brutto bambino.","Linus Torvalds"
Sin,"Il peccato è sempre egocentrico, mentre l'amore è altruismo e parentela.","Fulton J. Sheen"
Sinew,"I tendini erano utilizzati per cucire assieme le pelli per farne vestiti.","Wikipedia"
Skin,"Tocco la tua pelle\ncome se sfogliassi\nun libro di salmi","Anise Koltz"
Skyscraper,"Arrampicati solo un poco sulla montagna, per vedere se è una montagna. Dalla cima, non potresti vedere se è davvero una montagna.","Frank Herbert"
Skyscraper,"La matematica è l'unico grattacielo del pensiero che si solleva sopra la mera opinione per esprimere certezza.","Robert ed Ellen Kaplan"
Sloth,"Del male non fare e paura non avere.","Proverbio"
Sloth,"Forse il futuro dell'accidia risiede nei peccati contro ciò che oggi pare connotarci sempre di più – la tecnologia.","Thomas Pynchon"
Sloth,"L'Accidia una freddura, ce reca senza mesura, posta 'n estrema paura, co la mente alienata.","Jacopone da Todi"
Smartphone,"Quando gli italiani non sanno che cosa dirsi, se lo dicono al telefono cellulare.","Sconosciuto"
Smoke_lost,"Non dico che mia moglie sia una cattiva cuoca, ma usa l'allarme anti-incendio come timer.","Bob Monkhouse"
Snake,"...poiché le loro code eran simili a serpenti e aveano delle teste, e con esse danneggiavano.","Apocalisse 9:19"
Snake,"No, non ho avuto paura del serpente, perché il serpente è più sincero di alcuni politici.","Ilona Staller"
Snare,"Spine e lacci sulla strada del perverso; chi ha cura di sé ne sta lontano.","La Bibbia"
Software,"Il software è come il sesso, è meglio quando è libero.","Linus Torvalds"
Solar cell,"La cellula fotovoltaica converte la luce solare in energia... o come AeroViroment ama dire, l'aeroplano è alimentato dalla sua ombra.","Richard Swanson"
Soldier,"E mentre marciavi con l'anima in spalle vedesti un uomo in fondo alla valleche aveva il tuo stesso identico umore ma la divisa di un altro colore.",""
Soldier,"I soldati capiscono solo la guerra, la pace li confonde.","""Troy"" (film)"
Soldier,"I soldati capiscono solo la guerra, la pace li confonde.","Troy (film)"
Soldier,"I vecchi soldati non muoiono mai, svaniscono lentamente.","Douglas MacArthur"
Space station,"Non è la luna quella, è una stazione spaziale.","Guerre Stellari"
Spark,"Spesso una piccola scintilla ha innescato un grande incendio","Quinto Curzio Rufo"
Spear,"La mia lancia è inarrestabile!","Guerriero samurai"
Spell,"La fantasia è un'ottima serva, ma una pessima padrona.","Agatha Christie"
Spell,"Son dunque un mago per il fatto d'esser un poeta?","Apuleio"
Spellbook,"Bisogna prendere speciali precauzioni contro la malattia dello scrivere, perché è un male pericoloso e contagioso.","P.Abelardo"
Spellbook,"La scrittura è l'ignoto.","M.Duras"
Spellbook,"Per me scrivere è tirare fuori la morte dal taschino, scagliarla contro il muro e riprenderla al volo.","Ch.Bukowski"
Spirit,"Dove non è spirito che svegli la vita in qualsivoglia cosa, è morte.","Prospero Viani"
Spirit,"Lo spazio è la prigionia del corpo, il tempo è quella dello spirito.","Carlo Maria Franzero"
Spirit,"Lo spirito non è un dono ma una conquista.","Claude-Adrien Helvétius"
Spyglass,"Un telescopio ingrandirà una stella migliaia di volte, ma un buon addetto stampa può fare anche meglio.","Fred Allen"
Stainless steel,"Il ferro nelle mani del fabbro valente diventa acciaio.","Proverbio italiano"
Statue,"I bianchi calpestarono il mio popolo. Poi costruirono la statua della Libertà.","Marco Sartorelli"
Statue,"Nessuno, penso, dovrebbe leggere poesie, o guardare quadri o statue, se non vi sa trovare molto di più di quanto il poeta o l'artista vi abbiano effettivamente espresso.","Nathaniel Hawthorne"
Steak,"Ho mangiato cose che si lamentavano meno!","L'era glaciale"
Steak,"Il loro gioco preferito era tirare braciole crude e bistecche grondanti sangue sulla platea. L'ultima volta che era andato a un loro concerto era tornato a casa tutto inzaccherato di sangue.","Niccolò Ammaniti"
Steak,"L'uomo è ciò che mangia.","Ludwig Feuerbach"
Steam,"26 luglio 1864, mentre soffiava una forte brezza di nord-est, un magnifico yacht navigava a tutto vapore nel canale del Nord…","Jules Verne"
Steam,"Troppo arsa da diversi fuochi mobili in cielo o sorti dalla legna, alla fine dell'estate inumidita dalle piogge nuove insieme con la terra effondeva vapore verso l'alto.","Kālidāsa"
Steam-engine,"25 luglio 1864, mentre soffiava una forte brezza di nord-est, un magnifico yacht navigava a tutto vapore nel canale del Nord...","Jules Verne"
Steamship,"Nel porto, lungo il Molo Arsenale erano ormeggiati 11 battelli, di cui 4 a vapore...","Stanislao Nievo"
Stereo,"E poi il disco nello stereo smiagolò nel nulla, e nel breve silenzio prima del disco seguente, eccola lanciarsi in un'esibizione di bel canto.","Anthony Burgess"
Stick,"Non so con quali armi sarà combattuta la terza Guerra Mondiale, ma la quarta sarà combattuta con pietre e bastoni.","Albert Einstein"
Stone,"Gli uomini non inciampano nelle montagne ma sulle pietre.","Proverbio chinese"
Stone,"Ho trovato una città di mattoni, ve la restituisco di marmo.","Augusto"
Stone,"L'uomo che sposta una montagna comincia portando via le pietre più piccole.","Sconosciuto"
Stone,"Trovò un gallo un diamante nel ruspare, lo gettò e disse: io non ne so che fare.","Proverbio ebraico"
Storm,"È dolce cosa rammentar nel porto le tempeste passate.","Vincenzo Cuoco"
Storm,"Era una notte buia e tempestosa...","Edward Bulwer-Lytton"
Storm_lost,"La quiete dopo la tempesta.","Giacomo Leopardi"
Sublimation,"Adesso c'è soltanto il sentimento di un buio in cui stiamo sprofondando.","Federico Fellini"
Sublimation,"Il grande Pan è morto!","Plutarco"
Sugar,"Chiedere alla bambina di aspettare due ore una caramella è come chiedere alla mamma di aspettare 14 ore per bere un caffè.","A.Toffler"
Sugar,"Lo spirito dovrebbe essere una prelibatezza rara come il caviale: non spargerlo mai come la marmellata.","Noel Coward"
Sulfur,"All'inferno il diavolo è un eroe positivo.","Stanislaw Lec"
Sulfur,"Noi abbiamo profanato bellissimi alveari, li abbiamo avvelenati con lo zolfo e distrutti con la polvere.","I.Babel"
Sulfur,"Noi abbiamo profanato bellissimi alveari, li abbiamo avvelenati con lo zolfo e distrutti con la polvere.","Isaac Babel'"
Sun,"Dal Sole deriva l'idea prima di Dio.","Emilio Bossi"
Sun,"Finché risplenderà il sole, non si potrà dire che è solo una palla di gas infiammabile.","David Herbert Lawrence"
Sun,"Se il sole e la luna dovessero dubitare, subito si spegnerebbero.","William Blake"
Sunflower,"Forse saprai che la peonia è di Jeannin, l'altea appartiene a Quost, ma il girasole è in qualche modo mio...","V. Van Gogh"
Sunflower,"In certe ore la campagna è nera di sole.","Albert Camus"
Sunglasses,"Anche il sole ha le sue macchie.","Napoleone Bonaparte"
Sunglasses,"Il difetto non è di luce, ma di lumi: quanto in sé sarà piú bello e piú eccellente il sole, tanto sarà agli occhi de le notturne strige odioso e discaro di vantaggio.","Giordano Bruno"
Sunglasses,"Non posso nascondere il sole con un pugno di polvere.","Omar Khayyam"
Sunglasses present,"Anche il sole ha le sue macchie.","Napoleone Bonaparte"
Sunglasses present,"Il difetto non è di luce, ma di lumi: quanto in sé sarà piú bello e piú eccellente il sole, tanto sarà agli occhi de le notturne strige odioso e discaro di vantaggio.","Giordano Bruno"
Sunglasses present,"Non posso nascondere il sole con un pugno di polvere.","Omar Khayyam"
Super glue,"Vedo che avete messo l'attacatutto sulle vostre sedie.","Nancy Wilson"
Swamp,"...un pantano fangoso, ingannevole, che minacciava di intrappolare da un momento all'altro i miei destrieri e me stesso nel suo sgradevole abbraccio.","R.Bloch"
Sword,"Le nazioni non sguaineranno la spada contro altre nazioni, né impareranno ancora a fare guerra.","Antico Testamento"
Sword,"Rimetti la spada nel fodero, perché tutti quelli che mettono mano alla spada periranno di spada.","Gesù"
Tank,"Ci sarà sempre qualcuno al mondo, dritto in piedi contro un carro armato, non si riuscirà a fermare mai, un idea.","Alessandro Esseno"
Tank,"Questa Inter è come un carro armato a vele spiegate.","Alessandro Altobelli"
Tavern,"Di vino, di poesia o di virtù – a piacer vostro.","Charles Baudelaire"
Tavern,"Per non esser gli schiavi seviziati del Tempo: ubriachi! Senza tregua!","Charles Baudelaire"
Tea,"Detesto cose tipo McDonalds: al mondo dei fast food preferisco quello delle sale da tè.","Steven Patrick Morrissey"
Teabag,"I suoi muscoli sono mollicci come una bustina da tè usata.","Foghorn Leghorn"
Team,"Come è delizioso andar sulla carrozzella, e sulla carrozzella sotto braccio alla tua bella!","Odoardo Spadaro"
Teleport,"Il viaggio più lungo è il viaggio interiore.","Dag Hammarskjöld"
Teleport,"Il viaggio più lungo è quello che conduce alla casa di fronte.","Antonio Bello"
Teleport,"Un viaggio di mille miglia deve cominciare con un solo passo.","Laozi"
Temple,"In un tempio tutti dovrebbero essere seri, tranne ciò che è adorato.","Oscar Wilde"
Tequila,"Che passi dalla tequila al bourbon, per me ha funzionato.","Dr.House"
Tequila,"Tequila Sunrise è invece una creatura dell'omonimo cocktail: si beveva della tequila pura e poi si buttava giù della birra.","Don Henley"
Tequila present,"Che passi dalla tequila al bourbon, per me ha funzionato.","Dr.House"
Tequila present,"Tequila Sunrise è invece una creatura dell'omonimo cocktail: si beveva della tequila pura e poi si buttava giù della birra.","Don Henley"
Theft,"La roba ruba l'anima.","Proverbio"
Theft,"Poiché il mito ruba al linguaggio, perché non rubare al mito?","Roland Barthes"
Theft,"Ruba un pezzo di legno e ti chiamano ladro; ruba un regno e ti chiamano duca.","Zhuangzi"
Theory of relativity,"La teoria della relatività è come un mendicante vestito color porpora che la gente ignorante scambia per un re.","Nikola Tesla"
Thunderbird,"E poiché hanno seminato vento, raccoglieranno tempesta.","Libro di Osea, 8:7"
Thunderbird,"Meglio avere meno tuoni nella bocca e più luce nella mano.","Proverbio navajo"
Time,"Coll'economizzare il tempo si allunga la vita.","Antonio Rosmini"
Toaster,"[…] i Cyloni non sono niente di più che dei tostapane.","Battlestar Galactica"
Tobacco,"Cara sorella mia, oggi il Vesuvio fuma parecchio, accidenti a tutto spiano.","Mozart"
Tobacco,"Dissuadere dal consumo di alcool e di tabacco è di sinistra.","J.L.R.Zapatero"
Tobacco,"Il tabacco ha provocato solo stragi tra l'umanità.","Mahatma Gandhi"
Tobacco,"Uccidere non è come fumare. Si può smettere.","""Basic Instinct"" (film)"
Tolerance,"Dai fumatori si può imparare la tolleranza. Mai un fumatore si è lamentato di un non fumatore.","Sandro Pertini"
Tolerance,"Più gente conosco, e più apprezzo il mio cane.","Socrate"
Tools,"Gli strumenti non sono che teoria materializzata.","Gaston Bachelard"
Tools,"Le possibilità alchemiche di un'orchestra sono infinite...","Ivan Fedele"
Tools,"Una gallina è soltanto lo strumento usato da un uovo per fare un altro uovo.","Samuel Butler"
Torture,"La preghiera purifica l'anima, il dolore purifica il corpo.","WH40K"
Torture,"Quanto sai di te stesso se non ti sei mai battuto?","""Fight club"" (film)"
Torture,"Resisti. Nel resistere, diventa forte.","Dak'kon (""Planescape: Torment"")"
Torture,"Tanto è antica la contraddizione a questa barbara costumanza (la tortura) quanto lo è antico il ragionare e l’aborrire le inutili crudeltà","Pietro Verri"
Tower,"Benvenuto nella mia casa! Entrate libero e franco. Andatevene poi sano e salvo, e lasciate alcunché della felicità che arrecate!","B. Stoker"
Tower,"Io sono Roland di Gilead, e vengo io stesso; tu ti aprirai per me.","La torre nera, S. King"
Tower,"Non so come fu, ma, alla prima occhiata che gettai sull'edificio, un senso di insopportabile tristezza pervase il mio animo.","Edgar Poe"
Tower,"Ora viene Roland alla Tore nera!","LA torre nera, S. King"
Traffic lights,"Già da ragazzo, quando cominciavo a fare la politica, un simbolo, più di altri, mi aveva colpito e ispirato: il semaforo!","Corrado Guzzanti"
Transistor,"Corey aveva la radio con sé, uno di quegli aggeggi a transistor grandi come una valigia che funzionano con una quarantina di batterie e che hanno il magnetofono incorporato.","Stephen King"
Trap,"Nessuna corda si tira all'infinito.","R.Gervazo"
Treant,"Anche gli alberi hanno la loro anima che è in fondo, il demone stesso della vegetazione.","G.Cocchiara"
Treant,"Serit arbores, quae alteri saeclo prosint (pianta alberi, che gioveranno in un altro tempo).","Catone"
Tree,"Credo che non vedrò mai una poesia bella come un albero.","G.Kilmer"
Tree,"Gli alberi sono liriche che la terra scrive sul cielo.","Kahlil Gibran"
Tree,"L'uomo è come un albero e in ogni suo inverno levita la primavera che reca nuove foglie e nuovo vigore.","Vasco Pratolini"
Tree,"Noi li abbattiamo e li trasformiamo in carta per potervi registrare, invece, la nostra vuotaggine.","Kahlil Gibran"
Turtle,"La mosca che punge la tartaruga si rompe il becco.","Proverbio italiano"
Turtle,"Si muove con la lentezza di una tartaruga millenaria.","Armando Ceroni"
TV,"In tv ormai la lingua italiana è un optional, la sintassi un mistero oscuro.","Aldo Grasso"
TV,"La dimensione fredda della tv è anche il viso freddo, senza espressione, dei teenager.","Marshall McLuhan"
TV,"La televisione è un apparecchio che ha trasformato la cerchia famigliare in un semicerchio.","Gigi Proietti"
TV,"La televisione riempie molte solitudini.","Enzo Biagi"
TV,"La tv vive di cinema, ma il cinema muore di tv.","Dino Risi"
TV,"I want my MTV!","Dire Straits"
Typewriter,"I libri sono l'umanità stampata.","B.Tuchman"
Typewriter,"Molti scrittori hanno necessità di ferite, ciascuna fisica o spirituale.","Martin Amis"
UFO,"Gli UFO esistono; e' l'aviazione che non esiste.","Anonimo"
UFO,"l fenomeno degli Ufo è reale.","E.Mitchell, astronauta statunitense"
UFO,"La verità è là fuori.","X-Files"
Underground,"I serpenti sono gli abitatori del mondo sotterraneo.","Alain Daniélou"
Underground,"Io tornerò giù, nel buio sotterraneo...","Eschilo"
Unicorn,"Chi opera per sincera coscienza può errare, ma è puro innanzi a Dio.","Silvio Pellico"
Unicorn,"Custodiscono la purezza le fatiche corporali e la meditazione della Scrittura.","Isacco di Ninive"
Unicorn,"Gli unicorni sono la mia vera specialità nel dipingere.","""Ed, Edd & Eddy"" (serie tv d'animazione )"
Unicorn,"La confessione dei nostri peccati è il primo passo verso l'innocenza.","Publio Siro"
Unicorn,"O figlio caro, tu entri in quegli anni quando un volto di donna ci agita il sangue.","Aleksandr Sergeevič Puškin"
USB,"La portabilità delle chiavette USB rende semplice infettare accidentalmente la rete aziendale con virus trasportati da un computer di casa.","Jim Watson"
Vacuum cleaner,"Vendere armi è come vendere aspirapolvere. Fai telefonate, cammini e prendi gli ordini.","Lord of War"
Vacuum tube,"UNIVAC: un apparecchio che conteneva 20000 tubi a vuoto, occupava 1500 piedi quadrati, e pesava 40 tonnellate; c'era anche una versione ""portatile"" che ne pesava solo 27!","Dave Barry"
Vampire,"..io non bevo mai… vino.","""Dracula"" di Bram Stocker"" (film)"
Vampire,"Che mondo è questo, dove nemmeno i vampiri sono al sicuro?","Matteo Gambaro"
Vampire,"Il sangue sta bene nelle vene.","Proverbio italiano"
Vampire,"La disperazione ha le sue calme.","Bram Stoker"
Vampire,"Non sempre c'è iattura in una sepoltura.","Dracula: morto e contento (film)"
Vegetarianism,"Il compito più alto di un uomo è sottrarre gli animali alla crudeltà.","Emile Zola"
Vegetarianism,"Puoi conoscere il cuore di un uomo già dal modo in cui egli tratta gli animali.","Immanuel Kant"
Video game,"I videogiochi non influenzano i bambini. Se Pac-Man avesse influenzato la nostra generazione, staremmo tutti saltando in sale scure, masticando pillole magiche e ascoltando musica elettronica.","Kristian Wilson"
Virtual reality,"Molte persone attendono la realtà virtuale. Io invece aspetto la realtà virtuosa.","Eli Khamarov"
Virtue,"Anche il sole penetra nelle latrine, ma non ne è contaminato.","Diogene di Sinope"
Virtue,"Se la castità non è una virtù, è certamente una forza.","Jules Renard"
Virus,"I rapporti umani non trasmettono il virus.","Pubblicità Progresso"
Virus,"In generale la grandezza dell'ingegno non garantisce mai dall'assurdità delle opinioni abbracciate.","Eulero"
Virus,"La paura è un virus.","M. G. Eberhart"
Virus,"L'unica cosa che si diffonde come un virus è il miraggio collettivo fomentato dalla propaganda consumista.","Luciano de Almeida"
Vitamin,"Ci saremmo sparati la vitamina C se l'avessero dichiarata illegale.","Trainspotting"
Vodka,"Ma questa volta vengo come Dioniso il vittorioso, che farà della terra una giornata di festa...","Friedrich Nietzsche"
Vodka,"Preferisco una tazza di tè al giorno.","Boy George"
Vodka present,"Ma questa volta vengo come Dioniso il vittorioso, che farà della terra una giornata di festa...","Friedrich Nietzsche"
Vodka present,"Preferisco una tazza di tè al giorno.","Boy George"
Void,"...senza amore, senza rabbia, senza dolore, il respiro è come un orologio che fa tic tac.","Equilibrium (film)"
Void,"Bicchiere mezzo pieno o mezzo vuoto.",""
Void,"Dopo che la nave madre,""Arkanoid"", fu distrutta, l'astronave ""Vaus"" si allontanò velocemente da essa, ma solo per essere intrappolata nel vuoto.","""Arkanoid"""
Void,"Tutti i peccati sono tentativi per colmar dei vuoti.","Simone Weil"
Walls,"Perché le pietre dei muri si lamentano, e le travi degli assiti ti rimproverano!","La Bibbia"
Wand,"Chi avrebbe resistito alla Bacchetta del Destino?","Joanne Rowling"
Wand,"Delille sopra il modo di agitare colla nostra immaginazione quella bacchetta magica che sa dar l'anima ad ogni cosa.","Louis Philippe de Ségur"
Wand,"È la bacchetta che sceglie il mago.","J.K.Rowling"
Warrior,"Chiunque voglia sinceramente la verità è sempre spaventosamente forte.","F. Dostoevskij"
Warrior,"I soldati combattono per un re che non hanno mai visto.","Troy (film)"
Warrior,"Tremenda è e rimane in ogni tempo una sola grandezza – l'uomo, per il quale le armi altro non sono che membra aggiuntive e pensieri in forma plastica.","E.Jünger"
Warrior,"Un soldato ha il grande vantaggio di poter guardare il suo nemico negli occhi.","""l gladiatore"" (film)"
Washing machine,"Il seminterrato è tutto mio. Nessuno ci va mai. I bambini ne hanno paura e poi lì c'è la lavatrice, il che tiene lontana mia moglie.","Sconosciuto"
Water,"Chi beve solo acqua ha un segreto da nascondere.","Charles Baudelaire"
Water,"Chi cade nell'acqua è forza che si bagni.","Giovanni Verga"
Water,"L'acqua divide gli uomini; il vino li unisce.","Libero Bovio"
Water,"Laudato si', mi Signore, per sor'acqua, la quale è molto utile et hù mele et pretiosa et casta.","San Francesco d'Assisi"
Water,"Tutte le scoperte della medicina si possono ricondurre alla breve formula: l'acqua bevuta moderatamente, non è nociva.","Mark Twain"
Water,"Acqua azzurra, acqua chiara, con le mani posso finalmente bere.","Lucio Battisti"
Water_lost,"Niente è più molle o più\nflessibile dell'acqua,\nma niente vi può resistere.","Lao Tzu"
Weapon,"Lo minaccero' solo con un dito"" disse, poggiandolo sul grilletto","Stanislaw J. Lec"
