3D holography,"Yo juego en un mundo de tres dimensiones, mientras que los demás se han quedado en un medio con solo dos.","Bill Gates"
Sugar,"Esta mermelada está hecha con las rosas que cultiva Anthy, guisadas con brandy y azúcar.","Shoujo Kakumei Utena (manga)"
Sugar,"Todo lo que necesitas es amor. Pero un chocolate de vez en cuando no hace daño.","Charles M. Schulz"
Sulfur,"80G de sulfuro, 5G de hierro, 3G de silicio y otros 15 ingredientes. Éstos son aproximadamente los ingredientes que harían falta para una persona adulta.","Fullmetal alchemist (manga)"
Sulfur,"En cuanto un individuo cae enfermo de enamoramiento, el mundo se disuelve como una pastilla de jabón en ácido sulfúrico.","Félix de Azúa"
Sulfur,"Para millones y millones de seres humanos el verdadero infierno es la tierra.","Arthur Schopenhauer"
Sun,"El amanecer es siempre una esperanza para el hombre","J.R.R.Tolkien"
Sun,"Miré todas las obras que se hacen debajo del sol; y he aquí todo ello es vanidad y aflicción de espíritu.","La Biblia"
Sunflower,"He exagerado el rubio del cabello, he utilizado también tonos naranjas y amarillo pálido.","Vincent Van Gogh"
Sunglasses,"La vida es fascinante: sólo hay que mirarla a través de las gafas correctas.","Alejandro Dumas"
Sunglasses,"Nunca pegues a un hombre con gafas. Utiliza algo más duro.","Héctor del Mar"
Sunglasses,"Una hora ganada al amanecer es un tesoro por la tarde.","Don Bosco"
Sunglasses present,"La vida es fascinante: sólo hay que mirarla a través de las gafas correctas.","Alejandro Dumas"
Sunglasses present,"Nunca pegues a un hombre con gafas. Utiliza algo más duro.","Héctor del Mar"
Sunglasses present,"Una hora ganada al amanecer es un tesoro por la tarde.","Don Bosco"
Super glue,"Yo soy cola, tú, pegamento.","Guybrush Threepwood (Monkey Island)"
Swamp,"Cada cosa tiene su belleza, pero no todos pueden verla.","Confucio"
Swamp,"De la mala hierba ¡Qué mariposa nació!","Kobayashi Issa"
Sword,"Habéis comprado vuestro honor con mi duelo.","Cid Campeador"
Sword,"Un entendimiento todo lógica es como un cuchillo de hoja sola, que hiera la mano de su dueño.","R.Tagore"
Tank,"La fuerza y la mente son opuestos. La moralidad termina donde empieza la pistola.","Ayn Rand"
Tank,"No me puedo creer que me condecoren. Yo creía que era necesario conducir tanques y ganar guerras.","John Lennon"
Tank,"No puedo creer que me condecoren. Yo creía que era necesario conducir tanques y ganar guerras.","John Lennon"
Tavern,"El odio es un borracho al fondo de una taberna, que constantemente renueva su sed con la bebida.","Charles Baudelaire"
Tavern,"El que da con una buena posada, no se ha alejado de su camino.","H.G.Wells"
Tavern,"La iglesia a diez pasos y a doscientos la taberna, más cerca está la taberna que la iglesia.","Refran"
Tea,"Intragable como té de cebolla.","Proverbio argentino"
Teabag,"Una mujer es como una bolsita de té: no se sabe lo fuerte que es hasta que la pone en agua caliente.","Nancy Woodhall"
Team,"Cuando el carro se ha roto, muchos te dirán por dónde no se debía pasar.","Proverbio turco"
Team,"No hay que poner el carro delante del caballo.","Proverbio argentino"
Teleport,"Dos caminos se bifurcaban en un bosque y yo, yo tomé el menos transitado, y eso hizo toda la diferencia.","Robert Frost"
Teleport,"Justifica tus limitaciones y te quedaras con ellas.","Séneca"
Teleport,"No puede haber orden cuando hay mucha prisa.","The Watchman"
Temple,"Ahí donde Dios tiene un templo, el demonio levanta una capilla.","Robert Burton"
Tequila,"Bienvenida a Tijuana... Tequila, Sexo, Marihuana!","Manu Chao"
Tequila,"Dar a la bota un beso, no es grave exceso; darlo a una mujer lo suele ser.","Refran"
Tequila present,"Bienvenida a Tijuana... Tequila, Sexo, Marihuana!","Manu Chao"
Tequila present,"Dar a la bota un beso, no es grave exceso; darlo a una mujer lo suele ser.","Refran"
Theft,"¿Qué es el robo de un banco en comparación con fundar uno?","Bertolt Brecht"
Theft,"Quien roba a un ladrón, tiene cien años de perdón.","Proverbio"
Theft,"Se dice que los ladrones respetan la propiedad. Sólo desean que la ajena se convierta en propia para respetarla mejor.",""
Theory of relativity,"Si mi teoría de la relatividad es exacta, los alemanes dirán que soy alemán y los franceses que soy ciudadano del mundo. Pero si no, los franceses dirán que soy alemán, y los alemanes que soy judío.","Albert Einstein"
Thunderbird,"El odio no se quita con el tormento, ni se expía por el martirio, ni se borra con sangre derramada.","Isidoro de Sevilla"
Thunderbird,"Jamás mueren en vano los que mueren por una causa grande.","Lord Byron"
Thunderbird,"Los más altos y nobles árboles tienen más razón para temerle a los truenos.","Charles Rollin"
Time,"Hablamos de matar el tiempo como si no fuera el tiempo el que nos mata a nosotros.","Alphonse Allais"
Toaster,"Si quieres una garantía, compra un tostador.","Clint Eastwood (The Rookie)"
Tobacco,"De los fumadores podemos aprender la tolerancia. Todavía no conozco uno sólo que se haya quejado de los no fumadores.","Sandro Pertini"
Tobacco,"Dejar de fumar es fácil. Yo ya lo dejé como 100 veces.","Mark Twain"
Tobacco,"Perdonen, ¿les molesta que no fume?, gracias.","Groucho Marx"
Tolerance,"La Biblia nos dice que amemos a nuestros vecinos y a nuestros enemigos: probablemente porque se trata de la misma gente.","G.K.Chesterton"
Tolerance,"No pertenezco a ninguna parte, soy extranjera en el mundo.","Isabel Allende"
Tolerance,"Nuestra verdadera nacionalidad es la humana.","H.G.Wells"
Tools,"¿Nunca fue la palabra un instrumento?","Enrique Lihn"
Tools,"La lira es, de alguna manera, un instrumento alado.","Joseph Joubert"
Tools,"La sangre sólo sirve para lavar las manos de la ambición.","Lord Byron"
Torture,"Cuando trates con una mujer, nunca olvides el látigo.","Nietzsche"
Torture,"De entre todas las criaturas los humanos son las más detestables, pues son las únicas criaturas que inflingen dolor por entretenimiento, sabiendo que están causando dolor.","Mark Twain"
Torture,"El castigo purifica.","Oscar Wilde"
Torture,"El futuro nos tortura y el pasado nos encadena. He ahí por qué se nos escapa el presente.","Gustave Flaubert"
Tower,"A fuerza de construir bien, se llega a buen arquitecto.","Aristóteles"
Tower,"El aire que corre muda la veleta, mas no la torre.","Refran español"
Tower,"Experimentar amor en el modo de tener implica encerrar, aprisionar o dominar al objeto amado.","Erich Fromm"
Tower,"Un edificio es una ofrenda al espíritu de la arquitectura.","Louis Kahn"
Traffic lights,"La verdad es que no pasa nada, para las desgracias que podrían ocurrir. Lo milagroso es que funcionen los semáforos.","Juan José Millás"
Transistor,"Yo no bebo, no fumo, no escucho la radio, no me drogo, como poco. Yo diría que mis únicos vicios son El Quijote, La divina comedia y no incurrir en la lectura de Enrique Larreta ni de Benavente.","Jorge Luis Borges"
Trap,"Quien no es capaz de desprenderse de un tesoro en un momento de necesidad es como un esclavo encadenado.","J.R.R.Tolkien"
Treant,"Narnia, Narnia, Narnia, despierta. Ama. Piensa. Habla. Sed árboles que caminan. Sed bestias que hablan. Sed aguas divinas.","C.Lewis"
Treant,"Un necio no ve el mismo árbol que un sabio.","W.Blake"
Tree,"Al este o al oeste, los bosques acabarán.","J.R.R.Tolkien"
Tree,"Cubierto de mariposas el árbol muerto florece.","K.Issa"
Tree,"Cubierto de mariposas el árbol muerto florece.","Kobayashi Issa"
Tree,"En este jardín ¡Un siglo de hojas muertas!","Basho"
Tree,"Incluso los árboles se caen de los mónos.","Proverbio japones"
Tree,"La falsedad es tan antigua como el árbol del edén.","Orson Walles"
Turtle,"Algún día, la tortuga aprenderá a volar.","T.Pratchett"
Turtle,"Porque la tortuga tiene los pies seguros, ¿es ésta una razón para cortar las alas al águila?","Edgar Allan Poe"
TV,"El arte es la mentira que nos ayuda a ver la verdad.","Pablo Picasso"
TV,"Hoy no salir en televisión es un signo de elegancia.","Umberto Eco"
TV,"Sólo una mentira que no esté avergonzada de si misma puede tener éxito.","I.Asimov"
Typewriter,"La dificultad de la literatura no es escribir, sino escribir lo que quieres decir.","R.L.Stevenson"
UFO,"El hecho de que crucen galaxias o universos para visitarnos, y siempre terminan en lugares como … La maldita Fyffe, Alabama. Tal vez no son tan súper-inteligentes, ¿saben a lo que me refiero?","Bill Hicks"
UFO,"Tengo un ovni en el garaje, nunca lo usé.","Carlitox (Alejo y Valentina)"
UFO,"Tengo una máquina del tiempo, en el garaje, al lado del ovni que nunca use.","""Alejo y Valentina"""
UFO,"Tengo una máquina del tiempo, en el garaje, al lado del ovni que nunca use.","Carlitox (Alejo y Valentina)"
Underground,"Combatir en un sótano implica varias dificultades.. .La primera de ellas que combates en un sótano.","Inglorious Basterds"
Underground,"De lo que verdaderamente hay debajo no sabemos nada.","H.Murakami"
Underground,"Los chicos de tu edad van a la universidad, tú sólo has llegado hasta el sótano.","Buffy Vampire Slayer"
Unicorn,"La inocencia no tiene nada que temer.","Jean Baptiste Racine"
Unicorn,"Los animales son la encarnación de la inocencia.","Henri Barbusse"
Unicorn,"Los unicornios rosas invisibles son seres de gran energía espiritual. Lo sabemos porque son capaces de ser a la vez rosas e invisibles.",""
Unicorn,"Seguiremos luchando mientras el corazón nos siga latiendo, mientras quede un unicornio vivo en el mundo.","Laura Gallego García"
USB,"No almacenes en la memoria lo que puedas almacenar en el bolsillo","Albert Einstein"
Vacuum cleaner,"Era el trabajo de aspirador al que aspiraba; al que hizo oposición.","Siniestro Total"
Vacuum tube,"El jarrón da forma al vacío y la música al silencio.","Georges Braque"
Vampire,"Absenta es el afrodisíaco del alma. El hada verde que vive en la absenta quiere tu alma, pero tú estás a salvo conmigo.","Dracula"
Vampire,"En el caso del vampiro que nos ocupa, todas las fuerza ocultas de la naturaleza, profundas y poderosas, deben haberse unido de alguna forma monstruosa.","Bram Stoker"
Vampire,"Parecía que la mayoría de los mitos sobre los vampiros se concentraban en reflejar a hermosas mujeres como demonios y a los niños como víctimas.","Stephenie Meyer"
Vampire,"Quien escribe con sangre, y escribe sentencias, ha de ser no leído, sino aprendido de memoria.","Friedrich Nietzsche"
Vampire,"Uno no alcanza la iluminación fantaseando sobre la luz sino haciendo consciente la oscuridad.","C.G.Yung"
Vegetarianism,"Los sacrificios de animales con pretexto religioso fueron inventados por los hombres como un pretexto para comer carne.",""
Vegetarianism,"No tomes la vida que no puedes dar.","Ovidio"
Video game,"Si Pac-Man hubiese influenciado a nuestra generación, estaríamos todos corriendo en salas oscuras, masticando píldoras mágicas y escuchando música electrónica repetitiva.","Kristian Wilson"
Virtual reality,"La cibercomunidad naciente encuentra refugio en la realidad virtual, mientras las ciudades tienden a convertirse en inmensos desiertos llenos de gente.","Eduardo Galeano"
Virtue,"No faltan los que mueren por una meta elevada.","Lord Byron"
Virtue,"Sin el encanto, el resto de las virtudes son inútiles.","R.L.Stevenson"
Virus,"Aquel que desea pero no obra, engendra la peste.","W.Blake"
Virus,"Cuando las penas del corazón se convierten en enfermedades, estamos perdidos.","Frederic Chopin"
Virus,"Nacemos con una enfermedad mortal que se llama vida.","Jeanne Moreau"
Virus,"Si quieres salvar a tu hijo del polio puedes rezar o puedes vacunarlo... Aplica la ciencia.","Carl Sagan"
Vitamin,"El amor es la vitamina del alma.","Anónimo"
Vodka,"El consumo mundial de petróleo es tan grande que las provisiones solo pueden durar unas cuantas generaciones más. La solución es el alcohol, un combustible limpio y perfecto.","A.G.Bell"
Vodka,"Vizcaya es tan pequeña que no se ve en el mapa,\npero bebiendo vino, nos conoce hasta el Papa.","Canción popular vizcaína"
Vodka present,"El consumo mundial de petróleo es tan grande que las provisiones solo pueden durar unas cuantas generaciones más. La solución es el alcohol, un combustible limpio y perfecto.","A.G.Bell"
Vodka present,"Vizcaya es tan pequeña que no se ve en el mapa,\npero bebiendo vino, nos conoce hasta el Papa.","Canción popular vizcaína"
Void,"El Tao que puede llamarse Tao no es el verdadero Tao.","Lao Tse."
Void,"La ciencia de la matemática es como un simple castillo de cristal, donde adentro se ve todo, pero de afuera no se ve nada.","N. Banicevich"
Void,"Los agujeros negros no son tan negros.","Stephen Hawking"
Void,"Nada está vacío en el universo.","Herón de Alejandría"
Walls,"Por eso la piedra clamará desde el muro, y la viga del enmaderado le responderá.","La Biblia"
Wand,"La Navidad agita una varita mágica sobre el mundo, y por eso, todo es más suave y más hermoso.","Norman Vincent Peale"
Wand,"Necesitamos la varita mágica de Harry Potter.","Vicente Fox (ex Presidente de México)"
Wand,"Yo tenía dos pares de gafas durante el rodaje. Ambas parejas tienen un lugar especial en mi corazón. Yo no quería ningún tipo de escoba ni una varita.","Daniel Radcliffe"
Warrior,"La diferencia básica entre un hombre común y un guerrero es que un guerrero toma todo como desafío, mientras un hombre común toma todo como bendición o como castigo.","C.Castaneda"
Warrior,"Son los cobardes los únicos que en la refriega retroceden. El valiente, por el contrario, lucha a pie firme, ya hiera o ya sea herido.",""
Warrior,"Un corazón tranquilo es mejor que una bolsa llena de oro.","Proverbio"
Washing machine,"En el año 2005 los chips serán tan baratos que los encontraremos en todas partes: la nevera, la lavadora y cualquier otro electrodoméstico.","Vinton Cerf"
Water,"Cuidemos el Agua, tomemos cerveza.","Anónimo"
Water,"Dijo la rana al mosquito desde una tinaja: más quiero morir en el vino que vivir en el agua...","Francisco de Quevedo"
Water,"El mar es tan profundo en la calma como en la tempestad.","John Donne"
Water,"La vida es aspirar, respirar y expirar.","Salvador Dalí"
Water,"Prefiero ser una gotita de amor, en un mar de amargura.","Teresa de Calcuta"
Water,"Sé agua, amigo.","Bruce Lee"
Water_lost,"No hay nada más suave o más\nflexible que el agua,\nmas nada puede con ella.","Lao-Tsé"
Weapon,"La armonía de las armas no depende del parentesco de los cuerpos.","Johann Christoph Friedrich Von Schiller"
Weapon,"La raza humana tiene un arma verdaderamente eficaz: la risa.","Mark Twain"
Weapon,"Las armas os darán la independencia, las leyes os darán la libertad.","Simón Bolívar"
Webcam,"Desde que los hombres perdieron el temor a Dios, pasaron a temer a las cámaras.","Milan Kundera"
Weeds,"Debe haber algo extrañamente sagrado en la sal: está en nuestras lágrimas y en el mar.","Khalil Gibran"
Weeds,"Los días son frutos y nuestro papel es comerlos.","Jean Giono"
Werewolf,"Praeclarum custodem ovium lupum (un protector excelente de la oveja, es el lobo).",""
Werewolf,"Si se pudiera cruzar al hombre con el gato, resultaría una mejora para el hombre, pero se rebajaría al gato.","M.Twain"
Werewolf,"Y disponen de sí mismos como lobos, al mordisquear y matar, en especial a criaturas humanas.","Richard Verstegan"
Whale,"¿Habéis visto a la ballena blanca?","Herman Melville"
Whale,"Elena la ballena mañana volverá nos traerá de regalo una estrellita de mar...","Canción infantil"
Wheat,"Había aprendido del campo una cosa: que la mejor tierra no se ve porque la cubre la maleza.","Juan Bosch"
Wheat,"Labrador que labra, no tiene estiletes ni cabras.","Proverbio"
Wheel,"El corazón de un hombre es una rueda de molino que trabaja sin cesar.","Martín Lutero"
White russian,"La bebida más peligrosa es el agua, te mata si no la bebes.","El Perich"
White russian,"La comida es la parte material de la alimentación, pero el vino es la parte espiritual de nuestro alimento.","A.Dumas"
White russian,"No sólo de pan vive el hombre. De vez en cuando, también necesita un trago.","Woody Allen"
White sail,"¡Oh mi voz condecorada con la insignia marinera: sobre el corazón un ancla, y sobre el ancla, una estrella, y sobre la estrella, el viento, y sobre el viento, la vela!","Rafael Alberti"
Windows,"Linux es más económico que Windows.","Steve Ballmer"
Wizard,"Un mago nunca llega tarde, Frodo Bolsón, ni pronto. Llega exactamente cuando se lo propone.","Gandalf"
Wizard,"Yo soy el hechicero, y cuando abra los ojos veré un mundo que he creado yo, y por el cual yo soy completamente responsable.","Richard Bach"
Wizard,"Yo soy el hechicero, y cuando abra los ojos veré un mundo que he creado yo, y por el cual yo soy completamente responsible.",""
Woman,"Dios os ha dado una cara y vosotros os hacéis otra.","W.Shakespeare"
Woman,"En mi casa mando yo, pero mi mujer toma las decisiones.","Woody Allen"
Woman,"Manu le asignó a la mujer cama, asiento, adornos, deseos impuros, rabia, deshonestidad, malicia y mala conducta.","Leyes de Manu (200 AC)"
Wood,"La madera de que está tallado Pinocho es la humanidad misma.","Benedetto Croce"
Wood,"Son las carretas que pasan\nestas tardes, al sol puesto,\nlas carretas que se llevan\ndel monte los troncos muertos...","Juan Ramón Jiménez"
Wool,"Con los años he aprendido que lo más importante en un vestido es la mujer que lo lleva puesto.","Yves Saint Laurent"
Wool,"Habiendo cambiado de ropa me siento pero muy solo.","K.Issa"
Wool,"Un hombre grande, nunca es más grande que cuando está vestido en andrajos.","Nicolae Iorga"
Work,"Busca siempre un quehacer; cuando lo tengas no pienses en otra cosa que en hacerlo bien.","Tales de Mileto"
Work,"El trabajo es el refugio de los que no tienen nada que hacer.","Oscar Wilde"
Work,"El trabajo es todo lo que se está obligado a hacer; el juego es lo que se hace sin estar obligado a ello.","Mark Twain"
Work,"Me lo contaron y lo olvidé; lo vi y lo entendí; lo hice y lo aprendí.","Confucio"
Work,"Ser lo que somos y convertirnos en lo que somos capaces de ser es la única finalidad de la vida.","Robert Louis Stevenson"
Worm,"En cualquier ser siento al hombre, al dios, al gusano, al loco, al humano eternamente parecido a mí.","Goethe"
Worm,"En cualquier ser siento al hombre, al dios, al gusano, al loco, al humano eternamente parecido a mí.","Johann Wolfgang von Goethe"
Worm,"La oruga llama fin del mundo, a lo que el resto del mundo llama mariposa.","Lao Tse."
Wrath,"Canta, oh diosa, la cólera del Pelida Aquiles.","Homero"
Wrath,"Canta, oh diosa, la cólera del Pelida Aquiles.","La Ilíada de Homero"
Wrath,"El budismo llama ""mácula del espíritu"", a la cólera; el maniqueísmo,""raíz del árbol de muerte"". Lo sé. ¿Y de qué me sirve?","Emil Michel Cioran"
Wrath,"Los tigres de la ira son más sabios que los caballos de la instrucción.","W.Blake"
Wrath,"Nada es más nocivo para la creatividad que el furor de la inspiración.","Umberto Eco"
WWW,"En el futuro no se usará módem para acceder a internet.","Vinton Cerf"
Yo-yo,"Hermano: Megan es la clase de niñita que corta los frenos de tu bici solo por rayar su yoyó.","Drake (Drake & Josh)"
Zeppelin,"No me enorgullece particularmente haber escrito sobre el automóvil, el submarino, el dirigible, antes de que estuvieran en el dominio de las realidades científicas.","Julio Verne"
Zipper,"Nada me había dicho de aquel extraño tembleque de manos que convertía cada botón, cada cremallera, en tarea de titanes.","La sombra del viento"
Zombie,"¡qué sueños\nvendrán en ese sueño de la muerte!","W.Shakespeare"
Zombie,"Aquel que tú crees que ha muerto, no ha hecho más que adelantarse en el camino.","Séneca"
Zombie,"En un momento dado de la vida, morimos sin que nos entierren. Se ha cumplido nuestro destino. El mundo está lleno de gente muerta, aunque ella lo ignore.","Goethe"
Zombie,"Ni el más sabio conoce el fin de todos los caminos.","J.R.R.Tolkien"
Zombie,"Sólo los muertos conocen el fin de la guerra.","Platón"
Acid,"En cuanto un individuo cae enfermo de enamoramiento, el mundo se disuelve como una pastilla de jabón en ácido sulfúrico.","Félix de Azúa"
Acid,"Nuestro vino es ácido, pero es nuestro vino","José Martí"
AI,"El ordenador es la evolución lógica del hombre: inteligencia sin moral.","John Osborne"
AI,"Es de primordial importancia no dejar que nuestro razonamiento resulte influido por las cualidades personales.","Sherlock Holmes"
Armageddon,"No esperes por el juicio final. Se lleva a cabo cada día.","Albert Camus"
Armageddon,"Siento una repugnancia muy grande hacia los procedimientos inquisitivos; me sugieren algo de lo que veremos el día del Juicio Final.","Robert Louis Stevenson"
Army,"Cuando llega la desgracia, nunca viene sola, sino a batallones.","W. Shakespeare"
Army,"En el ejército soviético hace falta más valor para retirarse que para avanzar.","Iósif Stalin"
Astaroth,"Seduce al hombre mediante la vanidad y la pereza.",""
Atheism,"Piedras juveniles\nroídas de ensueño\ncaen sobre las aguas\nde mis pensamientos.\nCada piedra dice:\n""¡Dios está muy lejos!""","F.G.Lorca"
Atheism,"Si Dios no existiera, no habría ateos.","Gilbert Keith Chesterton"
Atheism,"Un Jefe en el Cielo es la mejor excusa para un jefe en la tierra, es por eso que si un Dios existiera, tendría que ser abolido.","Mijaíl Bakunin"
Baal,"La cuestión es que estamos gobernados por un señor como este, tan cruel como Baal, que devoró a sus hijos.","Caín, de José Saramago"
Bat,"El color de mi alma es la rueda de murciélagos de hierro gris y triste sobre la aguja de mis sueños.","Claude Debussy"
Bat,"Me podrán robar tus dias, tus noches no.","Joaquín Sabina"
Battle cruiser,"Estamos tan estructurados y microgestonados que esto ya no es un mundo, es un *** crucero de placer.","Chuck Palahniuk"
BFG 9000,"Arma *** grande.","Wiki"
BFG 9000,"Mátalos a todos, y deja que Dios los juzgue.","Duke Nukem"
Biological weapon,"La figura de la muerte, en cualquier traje que venga, es espantosa.","Miguel de Cervantes"
Bomb,"En una guerra de bombardeo no hay vencedores ni vencidos.","Otto Hahn"
Bomb,"No podrá haber tranquilidad de un lado de la frontera, y bombardeos del otro lado.","Golda Meir"
Bomber,"El demonio del mal es uno de los instintos primeros del corazón humano.","Edgar Poe"
Cannon,"¡Mil millones de cañones a babor!","Capitán Haddock"
Cannon,"La diplomacia consigue más triunfos que los cañones.","Proverbio inglés"
Cellulose,"¡Si tocan la celulosa\nvan llenarse de sabañones!","Agarrate catalina"
Cellulose,"Fahrenheit 451: temperatura a la que el papel de los libros se enciende y arde…","Ray Bradbury"
Cerberus,"Cuanto más conozco a los humanos, más quiero a mi perro.","Lord Byron"
Cerberus,"Quien da pan a perro ajeno, pierde el pan y pierde el perro.","Refrán"
Chemical weapon,"No veo para qué tanta alharaca: A mí me hace bien el smog.","N. Parra"
Chimera,"Temible criatura híbrida que escupe un fuego abrasador.",""
City,"Las ciudades tienen sexo: Londres es un hombre, París una mujer, y Nueva York una transexual bien adaptada.","Angela Carter"
Communism,"Cuando doy comida a un pobre me llaman santo. Cuando pregunto por qué un pobre no tiene comida, me llaman comunista.","Hélder Pesoa Cámara"
Communism,"Hay comunistas que sostienen que ser anticomunista es ser fascista. Esto es tan incomprensible como decir que no ser católico es ser mormón.",""
Corruption,"La corrupción de los mejores es lo peor.","Atribuido a Tomás de Aquino"
Crow,"¡Eran más negras que las alas del cuervo de la tempestad!","Edgar Poe"
Cthulhu,"No estoy loco, ahora lo entiendo. Soy mentalmente divergente.","""Doce Monos"" (Therry Gilliam)"
Cyberspace,"¿Qué es real? ¿Cómo defines lo real? Si estás hablando de lo que puedes sentir, lo que puedes oler, lo que puedes saborear y ver, entonces lo real son simplemente señales eléctricas interpretadas por tu cerebro.","Morfeo"
Cyberspace,"No hay cuchara.","The Matrix"
Cyberspace,"Todo lo que vemos o parecemos es solamente un sueño dentro de un sueño.","Edgar Poe"
Death ray gun,"Los muertos no desean la venganza, sino la felicidad de los que viven.","Anime ""Rurouni Kenshin"""
Death star,"La fuerza estará ya contigo... siempre.","Obi-Wan"
Death star,"La fuerza estará ya contigo... siempre.","Yoda"
Death star,"Nuestro planeta es muy frágil, hay que tratarlo con cariño.","Carl Sagan"
Democracy,"En la democracia occidental se goza de libertad a condición de no usarla.","Anónimo"
Desert eagle,"A la muerte se le toma de frente con valor y después se le invita a una copa.","Edgar Poe"
Dictatorship,"Creo que con el tiempo mereceremos no tener gobiernos.","J.L.Borges"
Dictatorship,"El mejor argumento en contra de la democracia es una conversación de cinco minutos con el votante medio.","Winston Churchill"
Diseases,"Aunque apenas pueda resistir mis males, prefiero padecerlos a merecerlos.","Pierre Corneille"
Diseases,"El factor más importante y universal como causa del estrés y enfermedades es la carencia de amor.","Yu Chi"
Disintegrator,"Es más fácil desintegrar un átomo que un prejuicio.","Albert Einstein"
Dove,"Amó la paloma.","Palíndromo"
Dove,"Las mujeres son como las palomas, cuando menos lo esperás te cagan","Proverbio"
Earthquake,"Estoy convencido de que decirle a la gente que se refugie debajo de un escritorio es el mejor consejo que uno puede dar.","Yuji Ishiyama"
Empire,"¡Cuánto pesa esta corona!","W. Shakespeare"
Empire,"Somos servidores de la ley, a fin de poder ser libres.","Cicero"
Epidemic,"Estoy mirando para infectar a las personas con mi positividad. Creo que puedo comenzar una epidemia.","Will Smith"
Flamethrower,"Dos cosas quiere el hombre auténtico: peligro y juego.","Nietzsche"
Force field,"LLamaré a mi perro de ataque con campo de fuerza incluido.","Toy story 3"
Frankenstein,"Aprecio la vida, aunque sólo sea una sucesión de angustias, y la defenderé.","Mary W. Shelley"
Frankenstein,"Porque la tortuga tiene los pies seguros, ¿es ésta una razón para cortar las alas al águila?","Edgar Poe"
Frankenstein,"Quien con monstruos lucha cuide de convertirse a su vez en monstruo.","Nietzsche"
Friendship,"¡Dios me libre de enemistades de amigos!","Lope de Vega"
Friendship,"Dame un amigo, uno sólo, que pueda aceptar todos mis cambios de humor.","Esther M. Clark"
Friendship,"Hamete que pocas veces vio a Sancho Panza sin ver al rucio, ni al rucio sin ver a Sancho: tal era la amistad y buena fe que entre los dos se guardaban.","Miguel de Cervantes Saavedra"
Gambling,"¡Construiré mi propio módulo lunar, con juegos de azar y mujerzuelas!","Bender (Futurama)"
Gambling,"Es la prohibición lo que hace que cualquier cosa sea preciosa.","Mark Twain"
Hand grenade,"Quien no ha visto Granada, no ha visto nada.","Proverbio"
Heavens,"Hay más cosas en el cielo y en la tierra, que todas las que pueda soñar tu filosofía.","W.Shakespeare"
Heavens,"La Biblia enseña a llegar al cielo; no cómo funcionan los cielos.","Galileo Galilei"
Heavens,"Por que el cielo es azul, me hace llorar.","John Lennon"
Hydra,"De diez cabezas, nueve embisten y una piensa.","Antonio Machado"
Inferno,"El hombre ha hecho de La Tierra un infierno para los animales.","William Shakespeare"
Inferno,"Es mejor ser un escarabajo joven que una vieja ave del paraíso.","Mark Twain"
Kronos,"Iracundo padre de Zeus.",""
Land mine,"¡La mina se ve letal, la tele ves animal!","Palíndromo"
Lawyer,"Donde hay poca justicia es un peligro tener razón.","Francisco de Quevedo"
Lawyer,"Ser bueno es fácil; lo difícil es ser justo.","Victor Hugo"
Leather,"Debajo de tu piel vive la luna.","Pablo Neruda"
Leather,"Sin ti las emociones de hoy no serían más que la piel muerta de las de ayer.","""Amelie"""
Light saber,"La espada láser será quien dé la respuesta.","La Guerra de las Galaxias"
Light saber,"No necesitas una espada para cortar flores.","John Lennon"
Mammon,"Demonio conocedor del pasado y el futuro.",""
Medusa,"Solamente el que despierta tiene la fuerza de cortar la cabeza a la medusa del engaño, que en su mundo de visiones, atenaza al ser humano.",""
Mutant,"Cada cosa tiene su belleza, pero no todos pueden verla.","Confucio"
Napalm,"Amo el olor del napalm por la mañana.","Apocalypse Now"
Pegasus,"Frutales cargados. Dorados trigales...Cristales ahumados. Quemados jarales... Umbría\nsequía, solano... Paleta completa: verano.","Manuel Machado"
Pegasus,"No menos que saber, dudar me gusta más.","J.L.Borges"
Piranha,"En aguas donde hay piraña, muy pendejo quien se baña.","Proverbio"
Plasmagun,"Ojo por ojo y todo el mundo acabará ciego.","Mohandas Gandhi"
Poison gas,"El olor a muerte está en todos lados, y en la noche cuando sopla el viento helado, a nadie le importa.","The Ramones"
Politician,"Errar es humano. Culpar a otro es política.","Hubert H. Humphrey"
Politician,"La hipocresía exterior, siendo pecado en lo moral, es grande virtud política.","Francisco de Quevedo"
Politician,"Los artistas mienten para decir la verdad, los politicos mienten para ocultarla.","V de Vendetta"
Psycology,"El bienestar psicológico es tu derecho.","Arnoldo Martínez Baudrit"
Psycology,"Lo que no satisface la mente no tiene derecho de satisfacer el corazón.","Joseph Franklin Rutherford"
Razorvine,"La rosa tiene espinas, pero, ¿tiene pétalos el atún?","Roberto Fontanarrosa"
Razorvine,"Por el amor de una rosa, el jardinero es servidor de mil espinas.","Proverbio turco"
Razorvine,"Sangre y espinas. Acércate.\nSi tú me quieres, yo te querré.","F.G.Lorca"
Sect,"El hombre religioso y el ateo hablan continuamente de religión; el uno habla de lo que ama, y el otro de lo que teme.","Montesquieu"
Shub-Niggurath,"La cabra de los diez mil retoños.",""
Skeleton,"La juventud es una enfermedad que se cura con los años.","Atribuido a Bernard Shaw"
Soul,"Hay siempre en el alma humana una pasión por ir a la caza de algo.","Charles Dickens"
Soul,"Un hombre que tiene un alma hermosa tiene siempre cosas hermosas que decir; pero un hombre que dice cosas hermosas no tiene necesariamente el alma hermosa.","Confucio"
